StationCode,StationName,StationSource,Latitude,Longitude,LastUpdateDate
531SJC531,Lone Tree Creek at Escalon Belota,RWQCB5,37.822175,-120.997455,9/1/2007
541MER561,Gadwall Ditch at San Luis Drain Discharge,RWQCB5,37.03963,-120.77267,9/1/2007
403STCP9A,"Substation ""A"" of Random Site 9 - Piru Creek - Piru Canyon Rd",RWQCB4,34.53338,-118.75854,9/1/2007
403STCP9B,"Substation ""B"" of Random Site 9 - Piru Creek - Piru Canyon Rd",RWQCB4,34.52696,-118.75625,9/1/2007
403BQT109,Bouquet Canyon Tributary 109,RWQCB4,34.43254,-118.53443,9/1/2007
403BQT106,Bouquet Canyon Tributary 106,RWQCB4,34.43194,-118.53597,9/1/2007
403BQT104,Bouquet Canyon Tributary 104,RWQCB4,34.43052,-118.53693,9/1/2007
403STBQTU,Upstream of Bouquet Canyon site,RWQCB4,34.42931,-118.53862,9/1/2007
403STCBQT,Bouquet Canyon Creek,RWQCB4,34.42782,-118.54022,9/1/2007
403STC068,Random Site 68 - Santa Clara River,RWQCB4,34.40111,-118.67361,9/1/2007
405SGBCLD,Coldbrook,RWQCB4,34.29216,-117.839,9/1/2007
405SGB065,San Gabriel Upper R2,RWQCB4,34.27449,-117.898,9/1/2007
405SGBBER,Bear Creek,RWQCB4,34.2408,-117.883,9/1/2007
408CAL009,Arroyo Santa Rosa,RWQCB4,34.23828,-118.908,9/1/2007
405SGBCTL,Cattle Canyon,RWQCB4,34.2283,-117.766,9/1/2007
405SGB042,San Gabriel Upper R1,RWQCB4,34.1851,-117.928,9/1/2007
408CAL002,Rio de Santa Clara,RWQCB4,34.12341,-119.15584,9/1/2007
405SGB506,Walnut Creek,RWQCB4,34.05951,-118.00604,9/1/2007
405DCCSHW,Dominguez Channel - Crenshaw,RWQCB4,33.88062,-118.30958,9/1/2007
405DCARWN,Dominguez Channel - Artesia/Western,RWQCB4,33.87359,-118.30874,9/1/2007
405DCARVT,Dominguez Channel - Artesia/Vermont,RWQCB4,33.87342,-118.29085,9/1/2007
405DCMAIN,Dominguez Channel - Main,RWQCB4,33.85587,-118.27871,9/1/2007
405DCAVLN,Dominguez Channel - Avalon,RWQCB4,33.84128,-118.26313,9/1/2007
405DCWLTN,Dominguez Channel - Wilmington,RWQCB4,33.82468,-118.2425,9/1/2007
405DCAMDA,Dominguez Channel - Alameda St,RWQCB4,33.81581,-118.23164,9/1/2007
405DCSVDA,Dominguez Channel - Sepulveda,RWQCB4,33.80662,-118.22752,9/1/2007
405DCPCH1,Dominguez Channel - PCH,RWQCB4,33.79248,-118.23089,9/1/2007
405DCANHM,Dominguez Channel - Anaheim,RWQCB4,33.7769,-118.24084,9/1/2007
405LA4266,Bight station 4266,RWQCB4,33.76623,-118.27732,9/1/2007
405LA4338,Bight station 4338,RWQCB4,33.76249,-118.20776,9/1/2007
405LA4784,Bight station 4784,RWQCB4,33.75972,-118.27593,9/1/2007
405LA4408,Bight station 4408,RWQCB4,33.75507,-118.16386,9/1/2007
405LA4210,Bight station 4210,RWQCB4,33.75274,-118.21773,9/1/2007
405LA4226,Bight station 4226,RWQCB4,33.75084,-118.15943,9/1/2007
405LA4568,Bight station 4568,RWQCB4,33.74922,-118.24419,9/1/2007
405LA4354,Bight station 4354,RWQCB4,33.74866,-118.19867,9/1/2007
405LA4146,Bight station 4146,RWQCB4,33.74555,-118.21575,9/1/2007
405LA4098,Bight station 4098,RWQCB4,33.7442,-118.16867,9/1/2007
405LA4616,Bight station 4616,RWQCB4,33.74006,-118.18427,9/1/2007
405LA4504,Bight station 4504,RWQCB4,33.73835,-118.2403,9/1/2007
405LA4744,Bight station 4744,RWQCB4,33.73835,-118.1774,9/1/2007
405LA4306,Bight station 4306,RWQCB4,33.73834,-118.23341,9/1/2007
405LA4464,Bight station 4464,RWQCB4,33.73623,-118.27529,9/1/2007
405LA4656,Bight station 4656,RWQCB4,33.73586,-118.2196,9/1/2007
405LA4370,Bight station 4370,RWQCB4,33.73168,-118.20415,9/1/2007
405LA4472,Bight station 4472,RWQCB4,33.73146,-118.16341,9/1/2007
405LA4162,Bight station 4162,RWQCB4,33.73118,-118.19192,9/1/2007
405LA4274,Bight station 4274,RWQCB4,33.72857,-118.15722,9/1/2007
405LA4488,Bight station 4488,RWQCB4,33.7258,-118.18118,9/1/2007
405LA4242,Bight station 4242,RWQCB4,33.72421,-118.22423,9/1/2007
405LA4050,Bight station 4050,RWQCB4,33.72416,-118.26216,9/1/2007
405LA4792,Bight station 4792,RWQCB4,33.72405,-118.15078,9/1/2007
405LA4400,Bight station 4400,RWQCB4,33.7222,-118.21169,9/1/2007
405LA4760,Bight station 4760,RWQCB4,33.71542,-118.25265,9/1/2007
405LA4178,Bight station 4178,RWQCB4,33.71205,-118.25789,9/1/2007
405LA4632,Bight station 4632,RWQCB4,33.70978,-118.25519,9/1/2007
405LA4720,Bight station 4720,RWQCB4,33.70971,-118.27847,9/1/2007
405LA4114,Bight station 4114,RWQCB4,33.70423,-118.268,9/1/2007
728SSDNW1,Salton Sea Drain NW1 (Torrez Martinez 1),RWQCB7,33.49382,-115.9808,9/1/2007
728SSDNW2,Salton Sea Drain NW2 (Torrez Martinez 2),RWQCB7,33.45067,-115.99471,9/1/2007
722SSDSW1,Salton Sea Drain SW1 (San Felipe Creek d/s Hwy 86),RWQCB7,33.12306,-115.85278,9/1/2007
725SCSLGH,"Salt Creek, Slough (TSMP)",RWQCB7,32.84361,-115.7175,9/1/2007
520XPROPD,"Prop50, Orchard NS Everglade 1mi E Hwy 113",RWQCB5,39.9911,-121.6596,1/1/2008
504XXCS02,Unnamed Canal at Cutting Road b/t Co. Rd. P and 6th Ave,RWQCB5,39.7977,-122.1317,1/1/2008
504XSED30,Mud Creek at Meridian,RWQCB5,39.74741,-121.91808,1/1/2008
504XSED27,Stony Creek at Hwy 32,RWQCB5,39.74592,-122.1014,1/1/2008
504XXCS32,Mud Creek at Sacramento Ave,RWQCB5,39.7290384,-121.931909,1/1/2008
504XSED29,Big Chico Creek at Grape,RWQCB5,39.71668,-121.93079,1/1/2008
520XXCS33,Stony Creek at Highway 45,RWQCB5,39.7108706,-122.0026054,1/1/2008
520XSED28,Colusa Drain at Hwy 162,RWQCB5,39.52191,-122.04444,1/1/2008
520LSAC27,Little Dry Creek at Afton Road,RWQCB5,39.42056,-121.85266,1/1/2008
520LSAC28,Butte Creek at Afton Road,RWQCB5,39.41988,-121.88002,1/1/2008
520XXCS31,Main Drainage Canal at Colusa Highway,RWQCB5,39.3621382,-121.8230534,1/1/2008
520XXCS30,Butte Creek at Gridley Road,RWQCB5,39.3619051,-121.909796,1/1/2008
520EDAMRD,East Drain @ 4 Mile Rd,RWQCB5,39.30535,-122.1165,1/1/2008
520LSAC29,Stone Corral Creek at Four Mile Road/Excelsior Road ,RWQCB5,39.29363,-122.11562,1/1/2008
520SCCA4M,Stone Corral Creek @ 4 Mile Road,RWQCB5,39.29337,-122.11562,1/1/2008
520XBSALP,Butte Slough at Lower Pass Rd,RWQCB5,39.18718,-121.90904,1/1/2008
520LSAC30,Freshwater Creek at Old Hwy 99 West ,RWQCB5,39.17725,-122.16121,1/1/2008
520GLSZR1,Gilsizer Slough at Bogue Road,RWQCB5,39.09841,-121.63878,1/1/2008
520XPROPB,"Prop50, Orchard SE off S. George Washington Rd and Obanion Rd",RWQCB5,39.02462,-121.67007,1/1/2008
520XPROPA,"Prop50, Orchard SW off Hwy 99 and Obanion Rd",RWQCB5,39.02427,-121.63743,1/1/2008
520XPROPC,"Prop50, Orchard SW junction of Gilsizer Slough and Bailey Rd",RWQCB5,39.01757,-121.66416,1/1/2008
520GLSZR2,Gilsizer Slough at South George Washington Road,RWQCB5,39.00887,-121.67179,1/1/2008
520SSAH45,Sycamore Slough @ Hwy 45,RWQCB5,38.88107,-121.8436,1/1/2008
520LSAC31,Colusa Basin Drain #1,RWQCB5,38.8125,-121.7731,1/1/2008
520XSSLNK,Sacramento Slough near Karnak (SS1),RWQCB5,38.785,-121.6533,1/1/2008
511DROR14,Drain South of Road 14,RWQCB5,38.77894,-121.8182,1/1/2008
520KRCS16,Knight's Landing Ridge Cut South @ Rd 16,RWQCB5,38.74842,-121.6949,1/1/2008
511LGSR19,Lateral to Gordon Slough @ Rd 19,RWQCB5,38.71881,-121.9544,1/1/2008
511GSAR19,Gordon Slough @ Rd 19,RWQCB5,38.71465,-121.9244,1/1/2008
511WSAR27,Willow Slough @ Road 27,RWQCB5,38.71465,-121.9244,1/1/2008
519WDADPR,West Drainage @ Del Paso Rd.,RWQCB5,38.6563,-121.5606,1/1/2008
511DAMBLV,Drain @ Mace Blvd.,RWQCB5,38.5116,-121.6952,1/1/2008
511DARBRD,Drain @ Robben Rd.,RWQCB5,38.41628,-121.7861,1/1/2008
511DARRMR,Drain @ Robben Rd. & Midway Rd.,RWQCB5,38.38011,-121.7863,1/1/2008
511CAHWRD,Creek @ Hawkins Rd.,RWQCB5,38.35865,-121.8485,1/1/2008
511DAUCWY,Drain @ Ulatis Creek & Hwy 113,RWQCB5,38.33838,-121.8233,1/1/2008
544BSABRD,Beaver Slough @ Blossom Rd,RWQCB5,38.20421,-121.4471,1/1/2008
544EMARBR,8 Mile & Rio Blanco Rds,RWQCB5,38.0505,-121.4175,1/1/2008
520XPROPE,"Prop50, Orchard 0.25mi S Hwy 113 btw Hobbs and Sawtelle",RWQCB5,38.0056,-121.6411,1/1/2008
544SJRSWC,SJR Source water to Canal @ Holt & Nueger Roads,RWQCB5,37.99402,-121.4205,1/1/2008
544RIDAMR,Return Irrigation Drain @ MCD Rd.,RWQCB5,37.96983,-121.4623,1/1/2008
544USAWRD,Unnamed Slough @ woodsbro Rd & Burns Cutoff Levee,RWQCB5,37.94174,-121.3691,1/1/2008
531LJCANR,Little John Creek @ Newcastle Rd,RWQCB5,37.8763,-121.2107,1/1/2008
544DABWMR,Drain @ Bowman Raod,RWQCB5,37.86267,-121.3251,1/1/2008
531LTCANR,Lone Tree Creek @ Newcastle Rd.,RWQCB5,37.8622,-121.2101,1/1/2008
531CSNSAR,Copper Study Near South Austin Rd,RWQCB5,37.8583,-121.184,1/1/2008
544DRAWLR,Drain @ Wing Levee Rd,RWQCB5,37.85659,-121.378,1/1/2008
535WSAWAV,Walthal Slough @ Woodward Ave,RWQCB5,37.77046,-121.2923,1/1/2008
544TPSELR,Tom Pain Sl. @ El Rancho Rd,RWQCB5,37.76898,-121.3745,1/1/2008
535WDAJRD,Westport Drain @ Jennings Rd,RWQCB5,37.53674,-121.0668,1/1/2008
541UDAPRD,Unnamed Drain @ Pomelo Avenue near Paradise Avenue,RWQCB5,37.46904,-121.0627,1/1/2008
535XSSJ09,Sand Slough on Turner Island Rd. West of Merced Natl. Wildlife Refuge,RWQCB5,37.1717,-120.6834,1/1/2008
541XSSJ05,Main Canal at Badger Flat Road,RWQCB5,37.0712,-120.8768,1/1/2008
551KRAFSW,Kings River at Fresno Wier,ILRP_SSJWQC,36.7627,-119.443,1/1/2008
551XXFT32,Fresno Slough at Huntsman Ave.,RWQCB5,36.5808145,-120.2028378,1/1/2008
551KRAJBP,Kings River at James Bypass,ILRP_SSJWQC,36.5633,-120.093,1/1/2008
558SCDSP3,Stone Corral I.D. Discharge,RWQCB5,36.463808,-119.222917,1/1/2008
551XXFT33,Cantua Creek at South Stanislaus Ave.,RWQCB5,36.4289473,-120.3373768,1/1/2008
551KRALMW,Kings River at Lemoore Weir,ILRP_SSJWQC,36.4184,-119.724,1/1/2008
558SJRSP2,St. Johns River,RWQCB5,36.355911,-119.278719,1/1/2008
558KWRSP1,Kaweah River,ILRP_SSJWQC,36.338608,-119.457117,1/1/2008
551KRAJAV,Kings River at Jackson Avenue,ILRP_SSJWQC,36.2559,-119.853,1/1/2008
551XXFT34,Los Gatos Creek at El Dorado Ave.,RWQCB5,36.16644,-120.209588,1/1/2008
558TRAMCC,Tule River at McCarthy Check,RWQCB5,36.0937,-119.3658,1/1/2008
558TRAWCD,Tule River at Woods-Central Ditch Diversion,RWQCB5,36.0733,-119.0903,1/1/2008
558MDCH46,Main Drain Canal near Highway 46,RWQCB5,35.6,-119.61,1/1/2008
911TJLCC3,Long Canyon Creek 3,RWQCB9,32.77853,-116.44337,10/28/2008
902SSMR04,Santa Margarita at Willow Glen Road,RWQCB9,33.413986,-117.21504,2/26/2009
903SLSLR4,San Luis Rey River 4,RWQCB9,33.2616,-117.236,2/26/2009
905SDSYC1,Santa Ysabel Creek 1,RWQCB9,33.12783,-116.67785,3/5/2009
105FCA010,Grouse Creek ~0.2mi above Monte Creek,DFW-ABL,42.00122,-122.76609,3/16/2009
108FCA013,M-Line Creek above Maple Creek,DFW-ABL,41.08977,-124.08483,3/16/2009
518FCA075,Little Schnider Creek ~1.8mi above Meadow Valley Cr.,DFW-ABL,39.90569,-121.04631,3/16/2009
519FCA004,Dry Creek ~0.8mi above Rio Linda Blvd.,DFW-ABL,38.67772,-121.44822,3/16/2009
552FCA017,Big Creek ~0.5mi below Rush Creek,DFW-ABL,36.96443,-119.23157,3/16/2009
719FCA001,Andreas Canyon ~0.9mi above S. Palm Cyn. Dr.,DFW-ABL,33.76092,-116.54986,3/16/2009
902SMRDSx,Santa Margarita River ~5mi Down Stream of Camp Pendleton Hospital,DFW-ABL,33.28345,-117.37498,3/16/2009
904AHC003,Agua Hedionda Creek Site 3 above El Camino Real,DFW-ABL,33.14968,-117.2937,3/16/2009
904AHC004,Agua Hedionda Creek Site 4 below El Camino Real,DFW-ABL,33.14909,-117.29754,3/16/2009
904AHC002,Agua Hedionda Creek Site 2 above El Camino Real,DFW-ABL,33.14875,-117.28976,3/16/2009
